customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,F,93,12-10-1953,67,Executive Secretary,Health,Mass Customer,N,Yes,11
2,Eli,Bockman,M,81,16-12-1980,39,Administrative Officer,Financial Services,Mass Customer,N,Yes,16
3,Arlin,Dearle,M,61,20-01-1954,66,Recruiting Manager,Property,Mass Customer,N,Yes,15
4,Talbot,,M,33,03-10-1961,59,,IT,Mass Customer,N,No,7
5,Sheila-kathryn,Calton,F,56,13-05-1977,43,Senior Editor,n/a,Affluent Customer,N,Yes,8
6,Curr,Duckhouse,M,35,16-09-1966,54,,Retail,High Net Worth,N,Yes,13
7,Fina,Merali,F,6,23-02-1976,44,,Financial Services,Affluent Customer,N,Yes,11
8,Rod,Inder,M,31,30-03-1962,58,Media Manager I,n/a,Mass Customer,N,No,7
9,Mala,Lind,F,97,10-03-1973,47,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8
10,Fiorenze,Birdall,F,49,11-10-1988,32,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20
11,Uriah,Bisatt,M,99,30-04-1954,66,,Property,Mass Customer,N,No,9
12,Sawyere,Flattman,M,58,21-07-1994,26,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8
13,Gabriele,Norcross,M,38,15-02-1955,65,Developer I,Financial Services,High Net Worth,N,Yes,8
14,Rayshell,Kitteman,F,85,25-03-1983,37,Account Executive,Financial Services,Affluent Customer,N,No,6
15,Erroll,Radage,M,91,13-07-2000,20,Junior Executive,Manufacturing,Mass Customer,N,No,1
16,Harlin,Parr,M,38,27-02-1977,43,Media Manager IV,n/a,Mass Customer,N,Yes,18
17,Heath,Faraday,M,57,19-03-1962,58,Sales Associate,n/a,Affluent Customer,N,Yes,15
18,Marjie,Neasham,F,79,06-07-1967,53,Professor,n/a,Affluent Customer,N,No,11
19,Sorcha,Keyson,F,76,15-04-2001,19,Geological Engineer,Manufacturing,High Net Worth,N,No,1
20,Basile,Firth,M,72,13-08-1980,40,Project Manager,Manufacturing,Mass Customer,N,No,11
21,Mile,Cammocke,M,74,20-09-1980,40,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16
22,Deeanne,Durtnell,F,79,10-12-1962,58,,IT,Mass Customer,N,No,11
23,Olav,Polak,M,43,10-02-1995,25,,n/a,High Net Worth,N,Yes,1
24,Kim,Skpsey,F,55,03-12-1977,43,Research Assistant I,Argiculture,Mass Customer,N,Yes,15
25,Geoff,Assaf,M,72,02-12-1976,44,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
26,Trixi,Ginnelly,F,12,10-06-1978,42,Editor,Financial Services,Mass Customer,N,Yes,16
27,Garvin,Klees,M,37,25-09-1978,42,Research Nurse,Health,Mass Customer,N,Yes,12
28,Fee,Zellmer,M,5,30-09-1973,47,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21
29,Mona,Sancraft,F,62,22-06-1968,52,Safety Technician III,Manufacturing,Mass Customer,N,No,19
30,Darrick,Helleckas,M,18,18-10-1961,59,,IT,Affluent Customer,N,Yes,6
31,Star,Praton,F,3,24-11-1962,58,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14
32,Marion,Vanichkin,F,17,20-04-1995,25,Legal Assistant,Manufacturing,Affluent Customer,N,No,4
33,Ernst,Hacon,M,44,25-06-1957,63,Product Engineer,n/a,Affluent Customer,N,Yes,11
34,Jephthah,Bachmann,U,59,1843-12-21,#VALUE!,Legal Assistant,IT,Affluent Customer,N,No,20
35,Margaretha,Strettle,F,40,28-09-1963,57,Information Systems Manager,Health,High Net Worth,N,Yes,16
36,Lurette,Stonnell,F,33,09-11-1977,43,VP Quality Control,n/a,Affluent Customer,N,No,22
37,Laurie,Dwerryhouse,F,46,22-12-1985,34,Social Worker,Health,High Net Worth,N,No,16
38,Cordi,Merman,F,37,29-10-1955,65,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
39,Hunfredo,Smalley,M,5,16-04-1979,41,Assistant Media Planner,Entertainment,Mass Customer,N,No,22
40,Tomasine,Jerche,F,91,27-10-1981,39,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14
41,Basilius,Coupe,M,64,14-04-1976,44,Food Chemist,Health,Mass Customer,N,No,16
42,Chiquita,Durnall,F,24,28-03-1977,43,Accountant III,Manufacturing,Mass Customer,N,No,18
43,Indira,Belt,F,38,01-03-1983,37,Director of Sales,Retail,Mass Customer,N,No,5
44,Neron,Verick,M,63,18-10-1981,39,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17
45,Trace,Woodhead,M,64,23-09-1975,45,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8
46,Kaila,Allin,F,98,26-02-1972,48,,n/a,Affluent Customer,N,Yes,15
47,Matthew,Jeaycock,M,51,22-10-1992,28,Registered Nurse,Health,Affluent Customer,N,No,2
48,Rebbecca,Casone,F,46,15-08-1975,45,Biostatistician II,n/a,Mass Customer,N,Yes,8
49,Nolly,Ownsworth,M,63,26-01-1994,26,VP Quality Control,n/a,Affluent Customer,N,No,1
50,Whitby,Schapero,M,38,01-10-1980,40,Account Executive,Manufacturing,Mass Customer,N,Yes,16
51,Fidelio,Dilke,M,68,05-12-1959,61,Computer Systems Analyst II,Retail,Mass Customer,N,No,18
52,Curran,Bentson,M,57,22-06-1988,32,,Financial Services,Mass Customer,N,Yes,13
53,Agnella,Gocke,F,22,18-04-1954,66,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
54,Loralyn,Wonfor,F,2,24-07-1966,54,Sales Associate,Property,Mass Customer,N,Yes,18
55,Linc,Jillions,M,48,24-09-1956,64,Paralegal,Financial Services,Affluent Customer,N,Yes,7
56,Reese,Ensor,M,44,04-07-1996,24,VP Sales,Property,Mass Customer,N,Yes,4
57,Abba,Masedon,M,87,13-06-1988,32,Chief Design Engineer,n/a,Mass Customer,N,Yes,13
58,Dalenna,Pinnock,F,26,04-07-1967,53,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17
59,Niki,Heathcote,M,60,08-02-2000,20,Physical Therapy Assistant,n/a,High Net Worth,N,No,3
60,Nadiya,Champerlen,F,18,04-02-1970,50,,Manufacturing,Mass Customer,N,No,10
61,Kacey,Rowbottom,F,47,29-11-1959,61,Help Desk Operator,Property,High Net Worth,N,No,13
62,Sorcha,Roggers,F,38,06-07-1979,41,,IT,Mass Customer,N,Yes,22
63,Ebony,Zini,F,58,03-07-1965,55,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16
64,Gerek,Yve,M,73,25-03-1978,42,Legal Assistant,IT,High Net Worth,N,No,4
65,Yale,Tanser,M,21,01-04-1976,44,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15
66,Anselm,Gawne,M,46,11-03-2002,18,Account Executive,Argiculture,High Net Worth,N,No,1
67,Vernon,,M,67,14-06-1960,60,Web Developer II,Retail,Mass Customer,N,No,18
68,Dahlia,Eddoes,F,37,21-04-1974,46,Information Systems Manager,n/a,Affluent Customer,N,No,9
69,Heidi,Milner,F,16,22-06-1969,51,Web Developer II,n/a,Mass Customer,N,No,6
70,Foster,Vannoort,M,78,27-02-1993,27,Paralegal,Financial Services,Affluent Customer,N,No,8
71,Hoyt,Glavias,M,30,27-01-1985,35,Research Associate,Argiculture,Affluent Customer,N,Yes,12
72,Sammy,Cheese,M,93,13-02-1972,48,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16
73,Minette,Worters,F,16,27-05-1960,60,Teacher,n/a,Affluent Customer,N,Yes,5
74,Pansy,Kiddie,F,94,19-06-1969,51,,n/a,Mass Customer,N,Yes,6
75,Dollie,Sealy,F,28,15-07-1978,42,VP Product Management,Property,Mass Customer,N,No,19
76,Rea,Hasser,F,20,23-01-1978,42,Statistician II,Retail,High Net Worth,N,Yes,18
77,Shermie,Andrin,M,79,12-09-1989,31,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
78,Arch,Van der Kruis,M,37,12-03-1985,35,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
79,Tybi,Silliman,F,76,02-10-1968,52,Account Executive,Manufacturing,Mass Customer,N,No,18
80,Pablo,Small,M,11,24-04-1978,42,Data Coordiator,Entertainment,Mass Customer,N,No,13
81,Bee,Blazewicz,F,58,04-09-1986,34,,Health,High Net Worth,N,No,13
82,Gleda,Cokely,F,93,28-06-1965,55,Software Test Engineer III,Property,High Net Worth,N,No,19
83,Kerr,Simmell,M,97,26-02-1967,53,Internal Auditor,IT,Mass Customer,N,Yes,18
84,Rich,Mathiasen,M,78,07-02-1958,62,Accountant III,n/a,Mass Customer,N,Yes,14
85,Kane,Tixall,M,1,21-05-1958,62,Analyst Programmer,n/a,Mass Customer,N,No,8
86,Job,Sleney,M,75,04-03-1989,31,Occupational Therapist,Health,High Net Worth,N,Yes,7
87,Fields,Langdon,M,78,23-04-1974,46,Editor,Financial Services,Mass Customer,N,No,8
88,Malynda,Tumber,F,41,03-02-1966,54,Help Desk Operator,Property,High Net Worth,N,Yes,7
89,Benedicto,Hoxey,M,74,22-01-1967,53,Speech Pathologist,Health,Mass Customer,N,Yes,14
90,Cary,Garron,M,76,12-11-1984,36,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11
91,Dylan,Meaker,M,69,24-02-1955,65,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
92,Jodee,Judkins,F,98,11-09-1980,40,Recruiting Manager,Health,Mass Customer,N,No,12
93,Gordon,Gowar,M,63,16-07-1976,44,Project Manager,Retail,Mass Customer,N,Yes,10
94,Wallache,Simchenko,M,33,07-08-1974,46,Civil Engineer,Manufacturing,Mass Customer,N,No,21
95,Nomi,Mallinder,F,67,25-12-1960,59,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8
96,Heath,Olford,M,33,31-08-1968,52,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15
97,Arne,Corain,M,16,27-07-1979,41,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
98,Allianora,Babalola,F,19,17-03-1956,64,Safety Technician IV,Health,Mass Customer,N,No,7
99,Reggie,Mulliner,M,97,13-06-1998,22,VP Accounting,Financial Services,Mass Customer,N,No,3
100,Tripp,Steed,M,80,11-05-1968,52,General Manager,Financial Services,Mass Customer,N,Yes,4
101,Goran,Kwietek,M,83,29-12-1975,44,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11
102,Langsdon,Tranfield,M,51,27-11-1956,64,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
103,Ethyl,Runham,F,49,21-04-1997,23,Product Engineer,Financial Services,Affluent Customer,N,Yes,4
104,Odille,Panketh,F,40,06-06-1978,42,Automation Specialist II,Health,Mass Customer,N,Yes,9
105,Maribeth,Pristnor,F,25,17-09-2001,19,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
106,Glyn,,M,54,03-07-1966,54,Software Test Engineer III,Health,High Net Worth,N,Yes,18
107,Pris,Stallebrass,F,97,01-07-1990,30,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9
108,Kayle,Mingaud,F,4,14-03-1994,26,,n/a,High Net Worth,N,No,3
109,Cody,Blabey,M,16,11-12-1978,41,Marketing Assistant,n/a,Affluent Customer,N,Yes,4
110,Sascha,St. Quintin,M,23,31-07-2000,20,,Financial Services,Affluent Customer,N,No,1
111,Cele,Evason,F,65,29-08-1993,27,Analyst Programmer,n/a,Mass Customer,N,No,2
112,Shena,Parren,F,88,12-08-1975,45,Marketing Manager,Retail,High Net Worth,N,No,12
113,Gage,Nickless,M,67,06-05-1956,64,Staff Scientist,n/a,Mass Customer,N,No,20
114,Sunny,Swindells,F,10,23-10-1985,35,Teacher,Entertainment,Affluent Customer,N,No,8
115,Alberik,Mereweather,M,77,21-12-1981,38,Account Executive,Health,Mass Customer,N,No,18
116,Scottie,Swiffen,M,49,05-02-1999,21,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
117,Nance,Suttling,F,75,23-02-1982,38,Marketing Manager,Manufacturing,Mass Customer,N,No,15
118,Prentice,Pearmain,M,43,12-11-1959,61,Budget/Accounting Analyst IV,n/a,High Net Worth,N,No,19
119,Willey,Chastanet,M,9,04-12-1981,39,Associate Professor,n/a,High Net Worth,N,Yes,9
