customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,F,93,12-10-1953,67,Executive Secretary,Health,Mass Customer,N,Yes,11
2,Eli,Bockman,M,81,16-12-1980,39,Administrative Officer,Financial Services,Mass Customer,N,Yes,16
3,Arlin,Dearle,M,61,20-01-1954,66,Recruiting Manager,Property,Mass Customer,N,Yes,15
9,Mala,Lind,F,97,10-03-1973,47,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8
10,Fiorenze,Birdall,F,49,11-10-1988,32,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20
12,Sawyere,Flattman,M,58,21-07-1994,26,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8
13,Gabriele,Norcross,M,38,15-02-1955,65,Developer I,Financial Services,High Net Worth,N,Yes,8
14,Rayshell,Kitteman,F,85,25-03-1983,37,Account Executive,Financial Services,Affluent Customer,N,No,6
15,Erroll,Radage,M,91,13-07-2000,20,Junior Executive,Manufacturing,Mass Customer,N,No,1
19,Sorcha,Keyson,F,76,15-04-2001,19,Geological Engineer,Manufacturing,High Net Worth,N,No,1
20,Basile,Firth,M,72,13-08-1980,40,Project Manager,Manufacturing,Mass Customer,N,No,11
21,Mile,Cammocke,M,74,20-09-1980,40,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16
24,Kim,Skpsey,F,55,03-12-1977,43,Research Assistant I,Argiculture,Mass Customer,N,Yes,15
25,Geoff,Assaf,M,72,02-12-1976,44,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
26,Trixi,Ginnelly,F,12,10-06-1978,42,Editor,Financial Services,Mass Customer,N,Yes,16
27,Garvin,Klees,M,37,25-09-1978,42,Research Nurse,Health,Mass Customer,N,Yes,12
28,Fee,Zellmer,M,5,30-09-1973,47,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21
29,Mona,Sancraft,F,62,22-06-1968,52,Safety Technician III,Manufacturing,Mass Customer,N,No,19
31,Star,Praton,F,3,24-11-1962,58,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14
32,Marion,Vanichkin,F,17,20-04-1995,25,Legal Assistant,Manufacturing,Affluent Customer,N,No,4
35,Margaretha,Strettle,F,40,28-09-1963,57,Information Systems Manager,Health,High Net Worth,N,Yes,16
37,Laurie,Dwerryhouse,F,46,22-12-1985,34,Social Worker,Health,High Net Worth,N,No,16
38,Cordi,Merman,F,37,29-10-1955,65,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
39,Hunfredo,Smalley,M,5,16-04-1979,41,Assistant Media Planner,Entertainment,Mass Customer,N,No,22
40,Tomasine,Jerche,F,91,27-10-1981,39,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14
41,Basilius,Coupe,M,64,14-04-1976,44,Food Chemist,Health,Mass Customer,N,No,16
42,Chiquita,Durnall,F,24,28-03-1977,43,Accountant III,Manufacturing,Mass Customer,N,No,18
43,Indira,Belt,F,38,01-03-1983,37,Director of Sales,Retail,Mass Customer,N,No,5
44,Neron,Verick,M,63,18-10-1981,39,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17
45,Trace,Woodhead,M,64,23-09-1975,45,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8
47,Matthew,Jeaycock,M,51,22-10-1992,28,Registered Nurse,Health,Affluent Customer,N,No,2
50,Whitby,Schapero,M,38,01-10-1980,40,Account Executive,Manufacturing,Mass Customer,N,Yes,16
51,Fidelio,Dilke,M,68,05-12-1959,61,Computer Systems Analyst II,Retail,Mass Customer,N,No,18
53,Agnella,Gocke,F,22,18-04-1954,66,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
54,Loralyn,Wonfor,F,2,24-07-1966,54,Sales Associate,Property,Mass Customer,N,Yes,18
55,Linc,Jillions,M,48,24-09-1956,64,Paralegal,Financial Services,Affluent Customer,N,Yes,7
56,Reese,Ensor,M,44,04-07-1996,24,VP Sales,Property,Mass Customer,N,Yes,4
58,Dalenna,Pinnock,F,26,04-07-1967,53,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17
61,Kacey,Rowbottom,F,47,29-11-1959,61,Help Desk Operator,Property,High Net Worth,N,No,13
63,Ebony,Zini,F,58,03-07-1965,55,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16
64,Gerek,Yve,M,73,25-03-1978,42,Legal Assistant,IT,High Net Worth,N,No,4
65,Yale,Tanser,M,21,01-04-1976,44,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15
66,Anselm,Gawne,M,46,11-03-2002,18,Account Executive,Argiculture,High Net Worth,N,No,1
67,Vernon,,M,67,14-06-1960,60,Web Developer II,Retail,Mass Customer,N,No,18
70,Foster,Vannoort,M,78,27-02-1993,27,Paralegal,Financial Services,Affluent Customer,N,No,8
71,Hoyt,Glavias,M,30,27-01-1985,35,Research Associate,Argiculture,Affluent Customer,N,Yes,12
72,Sammy,Cheese,M,93,13-02-1972,48,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16
75,Dollie,Sealy,F,28,15-07-1978,42,VP Product Management,Property,Mass Customer,N,No,19
76,Rea,Hasser,F,20,23-01-1978,42,Statistician II,Retail,High Net Worth,N,Yes,18
77,Shermie,Andrin,M,79,12-09-1989,31,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
78,Arch,Van der Kruis,M,37,12-03-1985,35,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
79,Tybi,Silliman,F,76,02-10-1968,52,Account Executive,Manufacturing,Mass Customer,N,No,18
80,Pablo,Small,M,11,24-04-1978,42,Data Coordiator,Entertainment,Mass Customer,N,No,13
82,Gleda,Cokely,F,93,28-06-1965,55,Software Test Engineer III,Property,High Net Worth,N,No,19
83,Kerr,Simmell,M,97,26-02-1967,53,Internal Auditor,IT,Mass Customer,N,Yes,18
86,Job,Sleney,M,75,04-03-1989,31,Occupational Therapist,Health,High Net Worth,N,Yes,7
87,Fields,Langdon,M,78,23-04-1974,46,Editor,Financial Services,Mass Customer,N,No,8
88,Malynda,Tumber,F,41,03-02-1966,54,Help Desk Operator,Property,High Net Worth,N,Yes,7
89,Benedicto,Hoxey,M,74,22-01-1967,53,Speech Pathologist,Health,Mass Customer,N,Yes,14
90,Cary,Garron,M,76,12-11-1984,36,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11
91,Dylan,Meaker,M,69,24-02-1955,65,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
92,Jodee,Judkins,F,98,11-09-1980,40,Recruiting Manager,Health,Mass Customer,N,No,12
93,Gordon,Gowar,M,63,16-07-1976,44,Project Manager,Retail,Mass Customer,N,Yes,10
94,Wallache,Simchenko,M,33,07-08-1974,46,Civil Engineer,Manufacturing,Mass Customer,N,No,21
95,Nomi,Mallinder,F,67,25-12-1960,59,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8
96,Heath,Olford,M,33,31-08-1968,52,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15
97,Arne,Corain,M,16,27-07-1979,41,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
98,Allianora,Babalola,F,19,17-03-1956,64,Safety Technician IV,Health,Mass Customer,N,No,7
99,Reggie,Mulliner,M,97,13-06-1998,22,VP Accounting,Financial Services,Mass Customer,N,No,3
100,Tripp,Steed,M,80,11-05-1968,52,General Manager,Financial Services,Mass Customer,N,Yes,4
101,Goran,Kwietek,M,83,29-12-1975,44,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11
102,Langsdon,Tranfield,M,51,27-11-1956,64,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
103,Ethyl,Runham,F,49,21-04-1997,23,Product Engineer,Financial Services,Affluent Customer,N,Yes,4
104,Odille,Panketh,F,40,06-06-1978,42,Automation Specialist II,Health,Mass Customer,N,Yes,9
105,Maribeth,Pristnor,F,25,17-09-2001,19,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
106,Glyn,,M,54,03-07-1966,54,Software Test Engineer III,Health,High Net Worth,N,Yes,18
107,Pris,Stallebrass,F,97,01-07-1990,30,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9
112,Shena,Parren,F,88,12-08-1975,45,Marketing Manager,Retail,High Net Worth,N,No,12
114,Sunny,Swindells,F,10,23-10-1985,35,Teacher,Entertainment,Affluent Customer,N,No,8
115,Alberik,Mereweather,M,77,21-12-1981,38,Account Executive,Health,Mass Customer,N,No,18
116,Scottie,Swiffen,M,49,05-02-1999,21,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
117,Nance,Suttling,F,75,23-02-1982,38,Marketing Manager,Manufacturing,Mass Customer,N,No,15
120,Sloan,Wagg,M,80,02-09-1978,42,Legal Assistant,Financial Services,High Net Worth,N,Yes,4
121,Myles,Pauncefort,M,82,02-10-1957,63,Graphic Designer,Manufacturing,Mass Customer,N,No,15
122,Colver,Itter,M,87,19-04-1979,41,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12
123,Almeta,Kalinsky,F,85,03-12-1988,32,Analyst Programmer,Financial Services,High Net Worth,N,No,15
124,Kath,Cunney,F,27,03-05-1995,25,Administrative Assistant II,Health,High Net Worth,N,Yes,5
125,Darrelle,Antoniewski,F,94,17-03-1960,60,Computer Systems Analyst II,Property,Mass Customer,N,No,16
126,Norman,Cliff,M,53,15-10-1992,28,Administrative Officer,Health,Mass Customer,N,Yes,3
127,Merrili,Whitear,F,81,03-12-1974,46,Compensation Analyst,Financial Services,Mass Customer,N,No,19
128,Isidro,Cypler,M,73,17-07-1977,43,Systems Administrator III,Property,Mass Customer,N,Yes,12
129,Weidar,Silkstone,M,64,20-07-1985,35,Financial Advisor,Financial Services,High Net Worth,N,Yes,19
130,Raddy,Delete,M,32,18-07-1997,23,Chemical Engineer,Manufacturing,Mass Customer,N,No,1
131,Jana,Renyard,F,57,16-10-1964,56,Administrative Officer,Retail,High Net Worth,N,No,8
132,Celesta,Willavoys,F,5,07-07-1963,57,Web Designer I,Manufacturing,Mass Customer,N,Yes,9
133,Eldridge,Fiddeman,M,12,13-06-1977,43,VP Accounting,Financial Services,Mass Customer,N,Yes,16
134,Merna,McCulloch,F,34,01-08-1997,23,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5
135,Rosalia,Sigart,F,18,18-01-1975,45,Internal Auditor,IT,Mass Customer,N,No,3
136,Mel,Bennet,M,46,26-05-1973,47,Senior Developer,Manufacturing,High Net Worth,N,Yes,7
137,Vaughn,Artin,M,27,21-11-1987,33,Office Assistant II,Property,High Net Worth,N,No,10
138,Onofredo,Franc,M,5,28-04-1985,35,Recruiter,Financial Services,Affluent Customer,N,Yes,13
139,Gar,,M,1,28-07-1964,56,Operator,Telecommunications,Affluent Customer,N,No,4
140,Morrie,Flaxon,M,9,20-05-1994,26,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2
141,Townsend,Trobe,M,67,25-06-1954,66,Teacher,Financial Services,High Net Worth,N,Yes,10
142,Bentley,Fortesquieu,M,57,07-08-1967,53,Quality Engineer,Health,Affluent Customer,N,No,17
143,Kendall,Figg,M,19,01-09-1957,63,Operator,Argiculture,Mass Customer,N,Yes,11
145,Filippo,Ferrara,M,33,21-07-1997,23,Account Executive,Financial Services,Mass Customer,N,No,4
146,Ricoriki,Matlock,M,34,08-04-1985,35,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8
147,Rea,Pattrick,F,32,06-12-1973,47,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10
149,Drucy,Kausche,F,41,31-01-1995,25,Research Nurse,Health,Mass Customer,N,Yes,1
150,Bradly,Crosse,M,6,23-08-1983,37,Cost Accountant,Financial Services,Affluent Customer,N,No,17
151,Donnie,Brimson,M,36,31-01-1965,55,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13
152,Stephana,Cardew,F,5,03-03-1981,39,Compensation Analyst,Financial Services,Mass Customer,N,No,16
153,Lorilyn,Walshe,F,73,28-07-1977,43,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12
155,Orran,Bogges,M,4,28-12-1985,34,Quality Engineer,Manufacturing,Mass Customer,N,No,10
156,Shayla,Rimmington,F,23,09-09-1979,41,Cost Accountant,Financial Services,Mass Customer,N,Yes,11
